recno,Name,RAJ2000,DEJ2000,LengthMpc,e_LengthMpc,LengthAng,z,e_z,Ref,FistDisc
1706,ILTJ131623.68+284419.4,199.099573,28.73854196971,0.82014,0.09423,1.6282,1.098,0.092,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
10642,,198.40967,28.737487,0.769,0.06,3.0,0.2702,0.0222,Oei et al. 2023,Oei et al. 2023
238,ILTJ131929.78+285114.1,199.87343288795,28.85237333455,1.06586,0.1453,2.301,0.799,0.087,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
10390,,199.825755,28.871417,0.978,0.039,3.7,0.28212,5e-05,Oei et al. 2023,Oei et al. 2023
9745,,199.628974,29.299821,1.619,0.042,5.8,0.30531,9e-05,Oei et al. 2023,Oei et al. 2023
2286,ILTJ131926.54+293302.8,199.8580429,29.55111471743,0.89418,0.11148,1.7961,1.036,0.131,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
7340,ILTJ132509.24+291044.0,201.2868491,29.1773334559,1.00793,0.12752,2.051,0.979,0.114,ML (this work),ML (this work)
7936,ILTJ132412.97+291954.3,201.0557415,29.32842688242,1.07436,0.13919,2.1683,1.014,0.15,ML (this work),ML (this work)
3145,ILTJ132856.61+294620.9,202.223464,29.78063767281,1.84488,0.23296,3.9286,0.833,0.068,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
2007,ILTJ132753.69+301321.5,201.97443464442,30.22197660939,0.7371,0.10013,1.7339,0.64,0.051,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
8710,ILTJ132217.48+294551.0,200.5719835,29.76427445321,1.03413,0.1034,1.9852,1.71883,0.00066,ML (this work),Mahato et al. 2021
6498,ILTJ132046.67+302212.1,200.19563,30.3707700743,0.70065,0.09814,1.4706,0.873,0.126,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1169,ILTJ132526.06+303341.7,201.3601291,30.55723423654,0.71502,0.09816,1.6279,0.692,0.063,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
4068,ILTJ132543.44+303226.7,201.428658,30.54386978898,0.81916,0.13068,2.3034,0.449,0.045,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
462,ILTJ132614.56+304924.7,201.56289514541,30.82331469457,0.97674,0.11953,1.9776,1.0,0.101,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
8092,ILTJ132308.71+304750.9,200.7859537,30.79509204681,0.95751,0.19616,2.1969,0.679,0.2,ML (this work),ML (this work)
5239,ILTJ131308.07+290601.5,198.2833061,29.10015136313,0.93436,0.11726,1.8682,1.059,0.151,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1408,ILTJ131015.66+301725.1,197.548324,30.28350480107,1.68893,0.2201,3.4086,1.014,0.155,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
762,ILTJ131416.86+305050.4,198.566397,30.85436997447,1.42134,0.20391,3.2811,0.669,0.069,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
3988,ILTJ131240.27+303445.0,198.1678092,30.57973522103,0.83799,0.10523,1.6978,0.997,0.117,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
8903,ILTJ132017.03+303757.8,200.0715118,30.63210860205,0.82883,0.08839,1.5991,1.359,0.302,ML (this work),ML (this work)
5955,ILTJ131843.91+305200.9,199.681505,30.86980048757,1.68983,0.27385,4.5992,0.476,0.052,RGZ (Hardcastle et al. 2023),Oei et al. 2023
8310,ILTJ131840.94+311331.7,199.6705231,31.22322219614,0.79372,0.09767,1.7372,0.768,0.048,ML (this work),ML (this work)
7162,ILTJ132137.91+305207.8,200.4077729,30.86971670901,0.75023,0.07516,2.0103,0.48988,0.00015,ML (this work),ML (this work)
8496,ILTJ131954.07+313554.6,199.9753318,31.59851035782,0.75587,0.0614,1.504,2.351,0.202,ML (this work),ML (this work)
3369,ILTJ125526.41+282305.3,193.86366,28.38428883426,1.26831,0.16238,2.6273,0.914,0.096,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
3615,ILTJ125559.50+283027.4,194.002118,28.51271390322,0.79188,0.07926,3.1676,0.26133,3e-05,RGZ (Hardcastle et al. 2023),Oei et al. 2023
356,ILTJ125354.87+280945.7,193.47650768507,28.16103978441,0.83501,0.09881,1.8871,0.705,0.031,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
715,ILTJ125432.02+293353.8,193.641833,29.56137231721,2.57229,0.25739,6.6223,0.52876,6e-05,RGZ (Hardcastle et al. 2023),Dabhade et al. 2020
6299,ILTJ130135.91+294514.6,195.3974689,29.7537249216,0.75992,0.10486,1.6767,0.751,0.078,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
815,ILTJ130535.79+300907.1,196.4082788,30.15041527911,1.81426,0.25478,3.7127,0.957,0.177,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
10148,,196.39829,30.153643,1.203,0.081,3.7,0.3859,0.0342,Oei et al. 2023,Oei et al. 2023
4190,ILTJ130329.56+301936.0,195.884639,30.33536854443,0.99752,0.09988,3.0812,0.38337,7e-05,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
10079,,194.734799,30.004957,1.271,0.058,3.3,0.51992,0.00013,Oei et al. 2023,Oei et al. 2023
769,ILTJ130133.38+301826.4,195.389304,30.30619432951,0.81516,0.08165,4.6124,0.1668,3e-05,RGZ (Hardcastle et al. 2023),Oei et al. 2023
8633,ILTJ130251.63+303437.6,195.7133652,30.5776265498,1.3942,0.19304,3.0214,0.79,0.09,ML (this work),ML (this work)
4157,ILTJ125112.68+290629.9,192.8031796,29.10664916122,0.72722,0.09707,1.4638,1.026,0.187,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
10538,,192.089262,30.109954,0.851,0.023,5.5,0.14191,2e-05,Oei et al. 2023,Oei et al. 2023
3648,ILTJ124806.28+303428.2,192.0260045,30.5731439949,0.74064,0.07621,1.4311,1.335,0.51,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
1655,ILTJ125158.72+305505.0,192.991681,30.90618450033,0.99613,0.09972,4.3699,0.23065,3e-05,RGZ (Hardcastle et al. 2023),Oei et al. 2023
3273,ILTJ124913.94+302402.4,192.308046,30.39963796558,1.5696,0.32961,4.6007,0.418,0.077,RGZ (Hardcastle et al. 2023),Oei et al. 2023
2581,ILTJ125740.67+305850.0,194.418732,30.98265780889,1.00987,0.12283,2.0461,0.997,0.096,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
4494,ILTJ125544.60+303928.2,193.9374153,30.6566424188,0.77879,0.09955,1.6197,0.901,0.091,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9686,,193.967602,30.715082,1.708,0.015,17.4,0.08426,2e-05,Oei et al. 2023,Oei et al. 2023
10152,,193.593519,30.791139,1.202,0.094,6.0,0.1949,0.0184,Oei et al. 2023,Oei et al. 2023
7051,ILTJ125631.47+304806.9,194.1302917,30.79974668112,0.76753,0.10742,1.6806,0.767,0.087,ML (this work),ML (this work)
8587,ILTJ125801.29+312049.6,194.5073507,31.3462849136,0.89902,0.12204,2.0306,0.706,0.063,ML (this work),ML (this work)
3267,ILTJ125715.97+312152.5,194.31667942153,31.36473567399,0.91212,0.12608,1.8093,1.103,0.499,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
6054,ILTJ125347.76+305913.2,193.448057,30.98819239597,1.03859,0.12357,2.0367,1.181,0.193,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9062,ILTJ125243.67+310409.4,193.1823252,31.06870745391,0.9596,0.12672,2.0778,0.792,0.074,ML (this work),ML (this work)
6123,ILTJ125440.70+313908.2,193.66784172585,31.65319548612,0.84078,0.15626,2.4205,0.431,0.062,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9000,ILTJ125721.29+315326.8,194.335264,31.88977709722,0.79888,0.09902,1.6366,0.953,0.092,ML (this work),ML (this work)
849,ILTJ125720.64+315515.1,194.337667,31.92001332811,1.15157,0.13178,2.3649,0.944,0.051,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
410,ILTJ125630.57+320402.6,194.131432,32.07006375522,0.71851,0.11808,1.5117,0.866,0.225,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9980,,196.601694,30.684955,1.356,0.044,4.5,0.34211,9e-05,Oei et al. 2023,Oei et al. 2023
1996,ILTJ130815.84+311011.0,197.06476694767,31.17038110154,0.711,0.07112,1.5151,0.83114,6e-05,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
3294,ILTJ131100.13+311325.9,197.74907945441,31.22238488748,0.72068,0.1419,1.5352,0.832,0.362,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
6308,ILTJ130913.20+313111.6,197.302585,31.52105789074,2.33194,0.30479,4.8219,0.92,0.109,RGZ (Hardcastle et al. 2023),Oei et al. 2023
9952,,197.762948,31.713498,1.38,0.31,4.2,0.3924,0.1337,Oei et al. 2023,Oei et al. 2023
5136,ILTJ130517.86+311206.4,196.34332,31.20096964771,1.01933,0.19141,2.9266,0.433,0.064,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
6696,ILTJ130343.53+310802.5,195.9325243,31.13907823386,0.87014,0.11202,1.7511,1.027,0.153,ML (this work),ML (this work)
9192,ILTJ130657.46+314526.3,196.7418932,31.75732729348,0.75482,0.09646,1.6136,0.823,0.07,ML (this work),ML (this work)
6808,ILTJ130816.64+320055.2,197.0696679,32.01628781162,0.71317,0.09393,1.4075,1.135,0.544,ML (this work),ML (this work)
8744,ILTJ130744.87+321602.7,196.9377713,32.267455382,0.86284,0.08638,2.1477,0.5659,0.00012,ML (this work),ML (this work)
9397,,197.9328,31.7568,2.379,0.111,4.8,1.015,0.141,Oei et al. 2023,Oei et al. 2023
5833,ILTJ131405.13+325042.6,198.519628,32.84140098888,0.8176,0.11065,1.6389,1.046,0.224,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
5962,ILTJ130955.77+322216.3,197.4838045,32.37047654807,0.78602,0.07873,2.8959,0.29342,6e-05,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
4319,ILTJ130801.11+325107.4,197.006638,32.84785818944,1.70252,0.24969,3.5858,0.863,0.146,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
4179,ILTJ131005.00+325337.4,197.52021704812,32.89569585822,0.71157,0.07118,1.4397,1.00287,0.00013,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
2299,ILTJ131233.44+331414.3,198.131979,33.24340542583,1.3957,0.13979,3.7585,0.48539,0.00013,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
9011,ILTJ131350.77+333705.2,198.4633558,33.61846412577,0.75177,0.09387,1.6071,0.823,0.062,ML (this work),ML (this work)
5127,ILTJ131303.23+335701.6,198.2632517,33.95061606339,0.70444,0.09703,1.4503,0.935,0.148,RGZ (Hardcastle et al. 2023),RGZ (Hardcastle et al. 2023)
5677,ILTJ131237.23+340434.4,198.155109,34.07826768821,1.28567,0.18622,4.0331,0.374,0.025,RGZ (Hardcastle et al. 2023),Oei et al. 2023
9122,ILTJ130311.86+320740.6,195.79947,32.12758810678,0.71886,0.08358,1.4021,1.227,0.539,ML (this work),ML (this work)
3041,ILTJ130238.75+324750.9,195.656863,32.79787548589,1.63269,0.24103,4.8841,0.404,0.03,RGZ (Hardcastle et al. 2023),Oei et al. 2023
