RA,DEC
341.038096,28.152159
340.40627,26.881815
341.301684,24.345673
345.233849,28.448794
341.058636,27.642221
344.633608,28.718847
358.618633,27.200146
342.999903,28.666306
351.980259,25.798515
353.123622,26.942883
355.990431,26.536212
344.185845,27.755309
343.978918,27.886063
340.401835,26.874622
346.30164,28.917278
345.579135,29.506791
343.380279,27.520379
343.564236,29.261035
355.352421,26.186683
354.662546,25.375862
358.225076,25.193151
351.728043,25.846977
352.826478,25.779341
353.491131,25.55022
358.197276,26.954053
345.950701,28.548966
342.390146,25.799633
341.8647,29.115974
356.076037,26.644917
342.617337,27.298186
345.773807,29.14092
340.652409,27.871356
18.445753,26.387983
343.826407,27.259455
352.492932,24.794272
352.966924,24.3458
340.672987,26.535854
354.171521,26.393672
353.208026,24.464607
18.858948,27.221496
354.822748,26.964136
354.267143,25.562385
359.898164,25.773081
352.142906,25.501693
340.486619,26.579683
342.860927,28.095532
20.264848,25.330393
342.559915,26.634555
20.418029,26.346542
344.810177,28.920041
356.060309,26.843638
346.030072,27.435431
341.669022,26.549386
345.989963,28.385477
343.022905,25.329179
355.608215,25.644536
341.59853,28.748765
18.414582,26.06684
19.996243,26.741256
341.116912,26.387094
341.989177,28.816649
18.267644,24.957272
357.448001,25.772637
352.607461,26.471554
18.357353,26.122014
19.103451,26.800044
342.412946,29.509173
19.77238,26.989815
340.905598,26.835991
19.748244,25.942904
356.232852,26.913169
18.655452,25.612753
352.234602,25.168677
19.006571,27.042826
18.93142,26.43847
20.191444,25.762569
358.352516,26.111833
355.320856,25.837402
341.222472,27.068051
342.881368,28.518215
352.706491,25.141835
343.331128,28.518292
359.08301,25.120002
343.978918,27.886063
20.197858,25.204888
354.080941,25.321483
340.803827,28.386118
342.590017,25.340161
342.771913,27.969559
354.874411,25.014918
340.695736,27.320792
341.31468,29.361955
19.081916,24.795338
340.992704,29.313247
355.191234,25.425045
343.122423,28.870299
355.47006,26.352562
355.352421,26.209916
355.317089,25.551279
356.937014,25.32494
354.247094,25.736534
352.877401,24.607503
341.077501,27.977675
352.976771,24.628474
343.070958,27.76878
341.824997,25.248542
358.64888,25.045576
19.4743,25.566531
342.521377,28.326119
342.60387,28.753574
345.12606,27.465195
