radio_name,host_name,RAJ2000,DEJ2000,z,e_z,LengthMpc,e_LengthMpc,FirstDisc,DateDisc,Ref
ILTJ001433.82+281507.5,,3.640794,28.251851,1.142,0.236,0.954,0.067,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001450.69+255717.0,,3.707615,25.952531,1.349,0.367,0.759,0.068,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001454.48+222611.6,,3.729955,22.44142,0.955,0.107,0.963,0.057,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J001502.43+101056.3,3.760125,10.182314,0.419,0.1498,1.534,0.371,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ001531.90+331832.3,,3.880979,33.307752,0.876,0.162,0.869,0.071,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001533.83+264747.0,,3.887865,26.79776,0.255,0.021,1.022,0.067,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J001550.90+344719.5,3.962098,34.788774,0.16296,2e-05,1.059,0.018,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ001605.08+244025.8,,4.01507,24.67075,1.397,0.01,1.417,0.052,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J001604.35+042024.1,4.018125,4.340042,0.43281,0.0001,2.403,0.035,Dabhade et al. 2020 / prior,2020-08-05,Dabhade et al. 2020 / prior
ILTJ001604.92+265729.7,,4.02043,26.956648,0.737,0.085,0.775,0.056,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,4.0419,-45.6857,1.07,,1.1,0.202,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
ILTJ001622.23+212940.9,,4.092186,21.494172,1.025,0.217,0.703,0.065,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001622.22+300246.4,,4.095412,30.041438,0.61746,0.00019,0.912,0.042,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,J001626.35+164738.1,4.10983,16.793931,0.3637,0.0864,1.569,0.255,Oei et al. 2022,2022-10-24,Oei et al. 2022
ILTJ001630.76+252058.2,,4.129671,25.350061,1.044,0.265,1.267,0.108,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001641.82+313901.6,,4.175551,31.651154,0.646,0.064,0.8,0.055,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001700.34+182306.2,,4.250346,18.384442,0.987,0.194,0.908,0.071,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
ILTJ001706.93+203729.5,,4.280504,20.626627,1.052,0.126,0.905,0.055,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001710.42+215951.8,,4.288764,21.995685,0.642,0.068,0.887,0.06,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
ILTJ001713.25+300443.4,,4.309758,30.077745,0.879,0.08,0.895,0.053,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
,,4.3794,-44.8306,1.12,,1.033,0.2,Andernach et al. 2021,2021-11-02,Andernach et al. 2021
ILTJ001737.78+180926.7,,4.407438,18.15786,1.134,0.392,0.829,0.113,Mostert & Oei et al. 2024,2024-02-23,Mostert & Oei et al. 2024
,J001741.45+082755.7,4.422708,8.465478,0.67844,7e-05,1.021,0.043,Mahato et al. 2021,2021-11-22,Mahato et al. 2021
ILTJ001746.73+183844.8,,4.44527,18.645323,0.701,0.028,0.724,0.045,Hardcastle et al. 2023,2023-08-29,Mostert & Oei et al. 2024
